beta,lambda_B_r0,lambda_B_r1
1.481355932203389791e+01,-3.687689338294387192e-02,3.687689338294387886e-02
1.510169491525423702e+01,-3.666144121594702709e-02,3.666144121594703403e-02
1.538983050847457612e+01,-3.645386722357322334e-02,3.645386722357325110e-02
1.567796610169491522e+01,-3.625372521290727568e-02,3.625372521290727568e-02
1.596610169491525433e+01,-3.606060350507347967e-02,3.606060350507352824e-02
1.625423728813559165e+01,-3.587412161633130037e-02,3.587412161633133506e-02
1.654237288135593076e+01,-3.569392731831968341e-02,3.569392731831971116e-02
1.683050847457626986e+01,-3.551969402757600841e-02,3.551969402757602923e-02
1.711864406779660897e+01,-3.535111848183042360e-02,3.535111848183040278e-02
1.740677966101694807e+01,-3.518791866674867569e-02,3.518791866674864099e-02
1.769491525423728717e+01,-3.502983196197929916e-02,3.502983196197932692e-02
1.798305084745762628e+01,-3.487661347972055570e-02,3.487661347972063203e-02
1.827118644067796538e+01,-3.472803457271130684e-02,3.472803457271134153e-02
1.855932203389830448e+01,-3.458388149167500314e-02,3.458388149167503783e-02
1.884745762711864359e+01,-3.444395417490103695e-02,3.444395417490104389e-02
1.913559322033898269e+01,-3.430806515491306719e-02,3.430806515491310882e-02
1.942372881355932179e+01,-3.417603856911172883e-02,3.417603856911182597e-02
1.971186440677966090e+01,-3.404770926293614747e-02,3.404770926293624461e-02
2.000000000000000000e+01,-3.392292197551879940e-02,3.392292197551886879e-02
